Brand,CPU,GPU,RAM,Monitor,Resolution,Storage,OS,Weight,Price
MSI,Intel Core i5-1335U,Intel Iris Xe Graphics,16GB,14 Inches,1920x1080,512GB SSD,Windows 11 Home,3.09 lbs.,699.99
MSI,Intel Core i7 13th Gen 13700H (2.40GHz),Intel Iris Xe Graphics,32GB,16 Inches,2560 x 1600,1TB SSD,Windows 11 Pro,4.19 lbs.,1562.42
ASUS,AMD Ryzen 7 7730U CPU,  AMD Radeon Graphics,16GB,15.6 Inches,1920 x 1080,1TB SSD,Windows 11 Home,3.75 lbs.,849.99
ASUS,AMD Ryzen 9 7940HS Mobile Processor,NVIDIA GeForce RTX 4060 Laptop GPU,32GB,15.6 Inches,1920 x 1080,1TB SSD,Windows 11 Home,3.97 lbs.,1399.99
ASUS,Intel Core i9-13900H,Intel Iris Xe Graphics,16GB,17.3 Inches,1920 x 1080,1TB SSD,Windows 11 Home,,999.99
ASUS,Intel Core i9 13th Gen 13900H (2.60GHz),NVIDIA GeForce RTX 4060,16GB,14.5 Inches,2880 x 1800,1TB PCIe SSD,Windows 11 Home,3.64 lbs.,1899.99
MSI,Intel Core i7 13th Gen 13700H (2.40GHz),Intel Iris Xe Graphics,32GB,14 Inches,1920 x 1200,1TB SSD,Windows 11 Pro,3.53 lbs.,1476.98
ASUS,Intel Core i9 13th Gen 13900H (2.60GHz),NVIDIA GeForce RTX 4060,32GB,14.5 Inches,2880 x 1800,1TB PCIe SSD,Windows 11 Home,3.86 lbs.,2299.99
MSI,Intel Core i7 11th Gen 1195G7 (2.90GHz),Intel Iris Xe Graphics,32GB,14 Inches,1920 x 1080,1TB SSD,Windows 10 Home,2.84 lbs.,949.0
ASUS,Intel Core PENTIUM 8505,Intel UHD Graphics,8GB,17.3 Inches,1600 x 900,256GB SSD,Windows 11 Home,4.63 lbs.,482.99
ASUS,Intel Core i7-1360P (2.2GHz),Intel Iris Xe Graphics,16GB,14 Inches,2560 x 1600,1TB PCIe NVMe SSD,Windows 11 Home,2.98 lbs.,1099.99
ASUS,Intel Core i9 13th Gen 13980HX (2.20GHz),NVIDIA GeForce RTX 4060,16GB,16 Inches,3200 x 2000,1TB SSD,Windows 11 Home,4.41 lbs.,1699.99
ASUS,Intel Core i9 13th Gen 13900H (2.60GHz),NVIDIA GeForce RTX 4070,32GB,16.0 Inches,3200 x 2000,1TB PCIe SSD,Windows 11 Home,5.29 lbs.,2699.99
ASUS,Intel Core i7-1355UCPU,Intel Iris Xe Graphics,32GB,13.3 Inches,2.8K,1TB SSD,Windows 11 Pro,2.2 lbs,1312.99
ASUS,Intel Core i7 13th Gen 13700H (2.40GHz),NVIDIA GeForce RTX 2050,16GB,14.0 Inches,1920 x 1200,1TB PCIe SSD,Windows 11 Home,3.09 lbs.,1080.33
Asus,Intel Celeron N4020 Dual-core (2 Core) 1.10 GHz,Intel UHD Graphics 600,4 GB,11.6 Inches,1366 x 768,64 GB Flash Memory,Windows 10 Home,,183.95
MSI,Intel Core i7 12th Gen 1260P (2.10GHz),Intel Iris Xe Graphics,16GB,14 Inches,1920 x 1200,512GB SSD,Windows 11 Pro,4.29 lbs.,999.0
ASUS,AMD Ryzen 5 7530U CPU,  AMD Radeon Graphics,8GB,16 Inches,1920 x 1200,512GB SSD,Windows 11 Home,4.14 lbs.,577.99
LG,Intel Core i7 11th Gen 1165G7 (2.80GHz),Intel Iris Xe Graphics,16GB,15.6 Inches,1920 x 1080,1TB M.2 SSD,Windows 10 Pro 64-bit,2.47 lbs.,1029.99
MSI,Intel Core i7 13th Gen 1355U (1.70GHz),Intel Iris Xe Graphics,16GB,15.6 Inches,1920x1080,1TB SSD,Windows 11 Home,3.75 lbs.,899.99
MSI,Intel Core i5 11th Gen 1155G7 (2.50GHz),Intel Iris Xe Graphics,16GB,15.6 Inches,1920 x 1080,1TB SSD,Windows 11 Pro,3.52 lbs.,899.0
MSI,Intel Core i5 12th Gen 1240P (1.70GHz),Intel Iris Xe Graphics,16GB,14 Inches,1920 x 1200,512GB SSD,Windows 11 Pro,4.29 lbs.,850.0
